Time (s),HbO_avg,HbR_avg
0.0,6.352747104407253e-20,-3.3881317890172014e-20
0.02,-9.82925272986226e-06,9.956522545627724e-07
0.04,-1.9608777364488436e-05,1.9816687293511176e-06
0.06,-2.9295341966066165e-05,2.949592022880189e-06
0.08,-3.886926037151913e-05,3.889469409903788e-06
0.1,-4.827424470452661e-05,4.792398330610328e-06
0.12,-5.7462040482240694e-05,5.648652795774535e-06
0.14,-6.642096208734576e-05,6.450501717930852e-06
0.16,-7.510896885244818e-05,7.189955467047468e-06
0.18,-8.34865006110555e-05,7.859460709577132e-06
0.2,-9.151025185354145e-05,8.451249386249918e-06
0.22,-9.915926954286438e-05,8.962051350365081e-06
0.24,-0.00010641594787208069,9.380135111110829e-06
0.26,-0.00011324913340889401,9.701811567229314e-06
0.28,-0.00011964404209498231,9.92521330662024e-06
0.3,-0.0001255857703196111,1.004348245858673e-05
0.32,-0.00013104295760262116,1.0054281296772736e-05
0.34,-0.0001360151927840339,9.955866436352529e-06
0.36,-0.00014050667194570214,9.745039665846436e-06
0.38,-0.00014451041846911335,9.421455323740033e-06
0.4,-0.000148008417580102,8.98553727594994e-06
0.42,-0.00015102728025169363,8.436034060779027e-06
0.44,-0.00015355854843156815,7.776524960231021e-06
0.46,-0.00015560856473941537,7.006833768450583e-06
0.48,-0.00015719247848764448,6.129954085462863e-06
0.5,-0.00015834011501891294,5.150290184759888e-06
0.52,-0.00015904762877622786,4.071906035267578e-06
0.54,-0.00015934951376814785,2.89932459275799e-06
0.56,-0.00015927379542407896,1.638269963747458e-06
0.58,-0.00015884100170458765,2.9475975493298777e-07
0.6,-0.0001580762217180613,-1.124978489812233e-06
0.62,-0.00015701145021695414,-2.613836209227318e-06
0.64,-0.0001556699267550878,-4.164324163150415e-06
0.66,-0.0001540953401409737,-5.768805456274404e-06
0.68,-0.00015231424949766858,-7.419708180915234e-06
0.7000000000000001,-0.00015035441959403308,-9.107840828554528e-06
0.72,-0.00014825656693921865,-1.0824310939874038e-05
0.74,-0.00014605498356370033,-1.2562105250882467e-05
0.76,-0.00014378309883003674,-1.4311053137854672e-05
0.78,-0.00014147757598256426,-1.6062290153941865e-05
0.8,-0.00013917733677557941,-1.7808759201206276e-05
0.8200000000000001,-0.00013688563624036936,-1.9539416603546904e-05
0.84,-0.00013466110132986914,-2.124527597157354e-05
0.86,-0.00013251650251100688,-2.2921194767753618e-05
0.88,-0.0001304754102427374,-2.4558009116052942e-05
0.9,-0.0001285670797540199,-2.6146124351495416e-05
0.92,-0.00012683649910984765,-2.7680965800813994e-05
0.9400000000000001,-0.00012527873155556403,-2.9153977688561322e-05
0.96,-0.0001239309893506362,-3.055821991372967e-05
0.98,-0.00012279149222337387,-3.1892002056746875e-05
1.0,-0.00012186126901907528,-3.3145842533546276e-05
1.02,-0.00012117019491535239,-3.431368730272713e-05
1.04,-0.00012072695764782108,-3.539457318492919e-05
1.06,-0.00012051639105853948,-3.6384570641416894e-05
1.08,-0.00012055979354593797,-3.727805130797786e-05
1.1,-0.00012084427376115385,-3.807430978963885e-05
1.12,-0.00012135690746424598,-3.8771765515139734e-05
1.1400000000000001,-0.00012210311319239386,-3.9365972655097794e-05
1.16,-0.00012307199302756219,-3.985895130095656e-05
1.18,-0.00012424504016261064,-4.0249701780717435e-05
1.2,-0.00012561341008091536,-4.054078462091602e-05
1.22,-0.00012714720537983194,-4.0731356208186225e-05
1.24,-0.00012882292577802803,-4.082395807755639e-05
1.26,-0.00013063877211686088,-4.082111966733264e-05
1.28,-0.00013257117625769822,-4.0726527991679514e-05
1.3,-0.00013457224574277483,-4.054084515707314e-05
1.32,-0.0001366378591420119,-4.0270378619027764e-05
1.34,-0.0001387475784743625,-3.9918980759074485e-05
1.36,-0.00014086824694608982,-3.949150703943921e-05
1.3800000000000001,-0.00014296111682081348,-3.899101979192566e-05
1.4000000000000001,-0.0001450083771063929,-3.842496759093791e-05
1.42,-0.00014699813921023553,-3.779808371177333e-05
1.44,-0.00014888684924306767,-3.7118063626782946e-05
1.46,-0.00015064629781991125,-3.6388973273291175e-05
1.48,-0.00015226347750785867,-3.561752445034278e-05
1.5,-0.0001537105527415519,-3.480916978222051e-05
1.52,-0.00015496644886588032,-3.397054376652363e-05
1.54,-0.0001560303769080647,-3.3113231754039434e-05
1.56,-0.00015687529676186614,-3.224033465785161e-05
1.58,-0.0001574666035504801,-3.135756424235688e-05
1.6,-0.0001577992628263846,-3.0469400853745158e-05
1.62,-0.00015786554606210665,-2.958567783458023e-05
1.6400000000000001,-0.00015765263113184957,-2.8711917217676787e-05
1.6600000000000001,-0.00015715809333227904,-2.785140388047405e-05
1.68,-0.0001563631931684332,-2.7011933662066296e-05
1.7,-0.00015528906117087592,-2.619672508569922e-05
1.72,-0.00015391902825673308,-2.5413057015806127e-05
1.74,-0.00015225449727055296,-2.4665038913135946e-05
1.76,-0.00015030736655455025,-2.3956062809962017e-05
1.78,-0.00014807905621667491,-2.3292495667872147e-05
1.8,-0.00014557677735001773,-2.2677093526931967e-05
1.82,-0.00014281647721561613,-2.2111967964475174e-05
1.84,-0.00013981300436773154,-2.159953881315745e-05
1.86,-0.00013658872669222762,-2.1146036842138898e-05
1.8800000000000001,-0.00013314784059266868,-2.0750197242423962e-05
1.9000000000000001,-0.0001295250861201211,-2.0414442780048407e-05
1.92,-0.00012573347706867062,-2.0141780529013837e-05
1.94,-0.00012181138657453534,-1.993262813563095e-05
1.96,-0.00011777124191212195,-1.97868099867055e-05
1.98,-0.00011364615332057188,-1.970640408935008e-05
2.0,-0.00010946395448178673,-1.9689753088971765e-05
2.02,-0.00010524353155549807,-1.9735773494300707e-05
2.04,-0.00010101537928165946,-1.9844383502150282e-05
2.06,-9.681039022171904e-05,-2.0014278990386588e-05
2.08,-9.265237972688337e-05,-2.024523676962028e-05
2.1,-8.857721373505905e-05,-2.0534497098434136e-05
2.12,-8.461704489951726e-05,-2.0881965643197164e-05
2.14,-8.077847841432456e-05,-2.128264852041319e-05
2.16,-7.71012182124554e-05,-2.1736202839568387e-05
2.18,-7.360524805928927e-05,-2.2239042863224192e-05
2.2,-7.031271840321563e-05,-2.2788580097092652e-05
2.22,-6.724410172095419e-05,-2.3382036624053993e-05
2.24,-6.44223484900399e-05,-2.4016656140027654e-05
2.2600000000000002,-6.185893564323566e-05,-2.4686781709502935e-05
2.2800000000000002,-5.958291437749627e-05,-2.539088920933635e-05
2.3000000000000003,-5.760657045249962e-05,-2.6123978787561133e-05
2.32,-5.593347618732134e-05,-2.688152441040297e-05
2.34,-5.456685981033031e-05,-2.766320891381059e-05
2.36,-5.353638691802505e-05,-2.8461559106659405e-05
2.38,-5.2818478025895046e-05,-2.927287058209595e-05
2.4,-5.24374002193022e-05,-3.009709779721393e-05
2.42,-5.2377686564914834e-05,-3.092723851670976e-05
2.44,-5.2625767385178546e-05,-3.175906078274863e-05
2.46,-5.3199841201211366e-05,-3.25920899028704e-05
2.48,-5.407944537846174e-05,-3.34207192480431e-05
2.5,-5.52658535390577e-05,-3.424208232157725e-05
2.52,-5.673116000093246e-05,-3.505228116455056e-05
2.54,-5.848667384397347e-05,-3.584996433733928e-05
2.56,-6.0489184737136046e-05,-3.662877595709313e-05
2.58,-6.273504693670584e-05,-3.738841336734336e-05
2.6,-6.522869453228573e-05,-3.8125023066006846e-05
2.62,-6.790927073545093e-05,-3.883818619034829e-05
2.64,-7.077456542638387e-05,-3.952397216082686e-05
2.66,-7.380078291838123e-05,-4.0178153045653225e-05
2.68,-7.696428422184794e-05,-4.080154889999106e-05
2.7,-8.024897754575628e-05,-4.1392454983574334e-05
2.72,-8.362508398929695e-05,-4.194849452471916e-05
2.74,-8.708182094766923e-05,-4.2467759004516686e-05
2.7600000000000002,-9.057598743320529e-05,-4.294973407700536e-05
2.7800000000000002,-9.408782064648265e-05,-4.339222555270222e-05
2.8000000000000003,-9.759333036709993e-05,-4.3795189618106844e-05
2.82,-0.000101067481508473,-4.415666433190392e-05
2.84,-0.00010449904506466267,-4.447829634180333e-05
2.86,-0.00010785421378480601,-4.475656448000617e-05
2.88,-0.00011112095450920486,-4.499399638732536e-05
2.9,-0.00011427601608640242,-4.518835867477336e-05
2.92,-0.00011728828772336182,-4.5341347628060274e-05
2.94,-0.00012014648109822258,-4.545371120744668e-05
2.96,-0.00012284374143149284,-4.552467955516983e-05
2.98,-0.00012535879432667155,-4.555739410383702e-05
3.0,-0.00012769002996579115,-4.55515712733709e-05
3.02,-0.0001298058031410563,-4.550601504901769e-05
3.04,-0.000131692918061613,-4.542301708391557e-05
3.06,-0.00013338078830193908,-4.5303735751453547e-05
3.08,-0.000134824956851149,-4.515019048023358e-05
3.1,-0.00013603767940745934,-4.4965743894505634e-05
3.12,-0.00013702960155894433,-4.4749850423766274e-05
3.14,-0.00013777681643915152,-4.450449806373744e-05
3.16,-0.0001382935423176329,-4.423166659868445e-05
3.18,-0.00013859123439418218,-4.393445346674478e-05
3.2,-0.00013866114371328475,-4.361487828454136e-05
3.22,-0.00013849832547033577,-4.327365312050377e-05
3.24,-0.0001381289206780876,-4.291321531393644e-05
3.2600000000000002,-0.0001375458780346562,-4.2537161122204076e-05
3.2800000000000002,-0.0001367579133418234,-4.214495472717712e-05
3.3000000000000003,-0.00013579123769130134,-4.173993772496707e-05
3.3200000000000003,-0.0001346512578428282,-4.132512224895379e-05
3.34,-0.0001333415146856915,-4.090218509573793e-05
3.36,-0.00013187138553627574,-4.0470033466493794e-05
3.38,-0.00013028194361147782,-4.003462945169071e-05
3.4,-0.00012857477043896464,-3.959794433936965e-05
3.42,-0.00012675914175668552,-3.915802040381904e-05
3.44,-0.0001248292176276108,-3.871841151153485e-05
3.46,-0.00012282486741408143,-3.8280068169149205e-05
3.48,-0.0001207651434652251,-3.7846994070506754e-05
3.5,-0.00011863598204634431,-3.741932505548407e-05
3.52,-0.00011647259787763804,-3.699648228145823e-05
3.54,-0.00011425879761610399,-3.658026778269427e-05
3.56,-0.00011201228878625748,-3.617161022338925e-05
3.58,-0.0001097763715318002,-3.577366667759086e-05
3.6,-0.00010753562068347997,-3.538445900243737e-05
3.62,-0.00010528921078123459,-3.5007044619090614e-05
3.64,-0.00010308865704630553,-3.464125715331494e-05
3.66,-0.00010090869472193836,-3.428860551841265e-05
3.68,-9.87562706086022e-05,-3.3948009796574245e-05
3.7,-9.666027872648858e-05,-3.362272698188237e-05
3.72,-9.461030232402412e-05,-3.3310492925317186e-05
3.74,-9.26004401796828e-05,-3.3010527902972594e-05
3.7600000000000002,-9.064925791900376e-05,-3.2725507185928905e-05
3.7800000000000002,-8.874747292241729e-05,-3.2454350028922525e-05
3.8000000000000003,-8.68934266199815e-05,-3.2196808735825394e-05
3.8200000000000003,-8.508458452882777e-05,-3.195324601476929e-05
3.84,-8.333065370544511e-05,-3.1722884893628125e-05
3.86,-8.164025860655769e-05,-3.150552267778938e-05
3.88,-7.999481792780968e-05,-3.1299231915675384e-05
3.9,-7.839730931454514e-05,-3.110532094582662e-05
3.92,-7.684497829692468e-05,-3.092368110844512e-05
3.94,-7.531580311775189e-05,-3.0752700895800816e-05
3.96,-7.381808922480145e-05,-3.059123338689519e-05
3.98,-7.236218437794674e-05,-3.0438912771742618e-05
4.0,-7.093027449383779e-05,-3.0296500174863874e-05
4.0200000000000005,-6.951338023186425e-05,-3.0163599260347402e-05
4.04,-6.811541998485833e-05,-3.0035501717217786e-05
4.0600000000000005,-6.673049949130642e-05,-2.991286200301389e-05
4.08,-6.53358582168544e-05,-2.979693971244813e-05
4.1,-6.39578111834702e-05,-2.9687754057220225e-05
4.12,-6.256470581079465e-05,-2.9580706841276948e-05
4.14,-6.114906986649763e-05,-2.9477094693534863e-05
4.16,-5.973212605550214e-05,-2.937783871819061e-05
4.18,-5.830229444263431e-05,-2.9280339705274755e-05
4.2,-5.684004190723966e-05,-2.918375764219648e-05
4.22,-5.5383136957771114e-05,-2.909144659628359e-05
4.24,-5.389392975795316e-05,-2.8998378726167312e-05
4.26,-5.2391850624024465e-05,-2.8906614743594744e-05
4.28,-5.0888845869669506e-05,-2.881585288325915e-05
4.3,-4.93479987887969e-05,-2.872676143869879e-05
4.32,-4.781090271915262e-05,-2.8637589329284714e-05
4.34,-4.627499474835877e-05,-2.8551566945800533e-05
4.36,-4.4730939624640275e-05,-2.8466659607170026e-05
4.38,-4.319623645382152e-05,-2.838321365620999e-05
4.4,-4.168042540918975e-05,-2.8302229163367876e-05
4.42,-4.0163316604306494e-05,-2.8220682533702778e-05
4.44,-3.868696345054286e-05,-2.814228924258232e-05
4.46,-3.7265628127710716e-05,-2.8066051845226637e-05
4.48,-3.5870088751482096e-05,-2.7990053639027357e-05
4.5,-3.453974020269054e-05,-2.791691658738656e-05
4.5200000000000005,-3.3275953874053484e-05,-2.7846511229278075e-05
4.54,-3.2082623827049224e-05,-2.777877043231578e-05
4.5600000000000005,-3.0980413029856225e-05,-2.7713433571508246e-05
4.58,-2.99711496094103e-05,-2.7650597457508442e-05
4.6000000000000005,-2.9056876660212743e-05,-2.75899896175743e-05
4.62,-2.827160359372432e-05,-2.753350854758744e-05
4.64,-2.7605796234972555e-05,-2.747925573170426e-05
4.66,-2.707087000747978e-05,-2.7427790268113546e-05
4.68,-2.669356025830072e-05,-2.7378749654555877e-05
4.7,-2.64431592303234e-05,-2.733192912366237e-05
4.72,-2.634784375140091e-05,-2.7287870202174826e-05
4.74,-2.642662373311676e-05,-2.724715652208808e-05
4.76,-2.666627403315254e-05,-2.720644459552401e-05
4.78,-2.7068207568840438e-05,-2.716815622037703e-05
4.8,-2.765333071428834e-05,-2.7130038864920735e-05
4.82,-2.841139885889922e-05,-2.709418384162434e-05
4.84,-2.9348248196515604e-05,-2.7058560405757733e-05
4.86,-3.045739871964686e-05,-2.7023152566217467e-05
4.88,-3.1739710541765794e-05,-2.698889937479382e-05
4.9,-3.319297915071292e-05,-2.695426187943279e-05
4.92,-3.4813759244445424e-05,-2.6918375786859748e-05
4.94,-3.658766586688797e-05,-2.687933815085219e-05
4.96,-3.850073900810765e-05,-2.6836764713523873e-05
4.98,-4.057017298298697e-05,-2.6791059198935977e-05
5.0,-4.2777802043615605e-05,-2.674244754805706e-05
5.0200000000000005,-4.510874058423852e-05,-2.668867817445023e-05
5.04,-4.7547693367181755e-05,-2.6630465630680342e-05
5.0600000000000005,-5.0080474817799006e-05,-2.656714224676886e-05
5.08,-5.269883851333242e-05,-2.6497926421614702e-05
5.1000000000000005,-5.538472194925124e-05,-2.6420292629181013e-05
5.12,-5.812545089075001e-05,-2.633592486602705e-05
5.14,-6.091208983954733e-05,-2.6245860518844417e-05
5.16,-6.370439688997259e-05,-2.6147552202094793e-05
5.18,-6.648957215446352e-05,-2.604110829753414e-05
5.2,-6.925082053501873e-05,-2.5925498059021692e-05
5.22,-7.197399312805523e-05,-2.580095350882235e-05
5.24,-7.463548831508492e-05,-2.566911745940589e-05
5.26,-7.723359909631796e-05,-2.5528082668801353e-05
5.28,-7.973361205133343e-05,-2.537821425260875e-05
5.3,-8.210600785794997e-05,-2.522250788363084e-05
