Time (s),HbO_avg,HbR_avg,Stim?
0.0,5.082197683525802e-20,1.2705494208814505e-21,1
0.02,-1.9303694020090463e-07,-2.3833550856462213e-06,1
0.04,-3.865658055748806e-07,-4.758471473155616e-06,1
0.06,-5.809226655415998e-07,-7.117065340454646e-06,1
0.08,-7.747766306449494e-07,-9.45474252774336e-06,1
0.1,-9.696726338872183e-07,-1.176037970874216e-05,1
0.12,-1.1657011956663633e-06,-1.4027283615551867e-05,1
0.14,-1.363042922651846e-06,-1.625001519296282e-05,1
0.16,-1.5612898256683586e-06,-1.8420328328114293e-05,1
0.18,-1.7615181051112077e-06,-2.0532275003523808e-05,1
0.2,-1.964662439302919e-06,-2.257927476515271e-05,1
0.22,-2.1691663496648227e-06,-2.4556014001214305e-05,1
0.24,-2.3759929542184043e-06,-2.6457575382614337e-05,1
0.26,-2.585588590498243e-06,-2.8279336769945445e-05,1
0.28,-2.7976943389936534e-06,-3.0017862199616435e-05,1
0.3,-3.012145251830272e-06,-3.1669216477016134e-05,1
0.32,-3.2299971683012145e-06,-3.3232697908132744e-05,1
0.34,-3.449827939839646e-06,-3.470290031087478e-05,1
0.36,-3.673493754381084e-06,-3.608019349299543e-05,1
0.38,-3.900011847744658e-06,-3.73620548206893e-05,1
0.4,-4.129242063533403e-06,-3.854881291156419e-05,1
0.42,-4.36154206713964e-06,-3.96406381489767e-05,1
0.44,-4.59691549500489e-06,-4.063730587314554e-05,1
0.46,-4.835448874136496e-06,-4.153991630162561e-05,1
0.48,-5.07602564912794e-06,-4.2350310658814373e-05,1
0.5,-5.319781250878949e-06,-4.30718468189889e-05,1
0.52,-5.565543997431271e-06,-4.3706741190115066e-05,1
0.54,-5.814842939695538e-06,-4.4257975666736754e-05,1
0.56,-6.0662317263037195e-06,-4.4731378840571085e-05,1
0.58,-6.319106451852709e-06,-4.512886801050633e-05,1
0.6,-6.574500320145941e-06,-4.545537423569799e-05,1
0.62,-6.830758392521316e-06,-4.571529085782884e-05,1
0.64,-7.0880312671880716e-06,-4.591409060312953e-05,1
0.66,-7.3459759224495544e-06,-4.6056053017450396e-05,1
0.68,-7.6043296733242575e-06,-4.614594143841818e-05,1
0.7000000000000001,-7.863278027172071e-06,-4.619178141278492e-05,1
0.72,-8.122103662391469e-06,-4.619687969954235e-05,1
0.74,-8.379518801300857e-06,-4.616756145904825e-05,1
0.76,-8.635181820398531e-06,-4.610819411648886e-05,1
0.78,-8.888389700645933e-06,-4.6023556087188615e-05,1
0.8,-9.138738990545665e-06,-4.592069738938591e-05,1
0.8200000000000001,-9.386234641341938e-06,-4.580328528389268e-05,1
0.84,-9.629292144131881e-06,-4.567904540237135e-05,1
0.86,-9.868181433709092e-06,-4.5550632412779435e-05,1
0.88,-1.010120291513025e-05,-4.541905526770826e-05,1
0.9,-1.0327961455774602e-05,-4.5292678617969184e-05,1
